Ranking,Player,Team,Salary
1,LeBron James,Cleveland Cavaliers,"$30,963,450"
2,Mike Conley,Memphis Grizzlies,"$26,540,100"
3,Al Horford,Boston Celtics,"$26,540,100"
4,Dirk Nowitzki,Dallas Mavericks,"$25,000,000"
5,Carmelo Anthony,New York Knicks,"$24,559,380"
6,Damian Lillard,Portland Trail Blazers,"$24,328,425"
7,Chris Bosh,Miami Heat,"$23,741,060"
8,Dwyane Wade,Chicago Bulls,"$23,200,000"
9,Dwight Howard,Atlanta Hawks,"$23,180,275"
10,Chris Paul,LA Clippers,"$22,868,827"
11,Chandler Parsons,Memphis Grizzlies,"$22,116,750"
12,Bradley Beal,Washington Wizards,"$22,116,750"
13,Anthony Davis,New Orleans Pelicans,"$22,116,750"
14,Derrick Rose,New York Knicks,"$21,323,252"
15,Marc Gasol,Memphis Grizzlies,"$21,165,675"
16,Brook Lopez,Brooklyn Nets,"$21,165,675"
17,Kevin Love,Cleveland Cavaliers,"$21,165,675"
18,Nicolas Batum,Charlotte Hornets,"$20,869,566"
19,LaMarcus Aldridge,San Antonio Spurs,"$20,575,005"
20,Blake Griffin,LA Clippers,"$20,140,839"
21,Paul Millsap,Atlanta Hawks,"$20,072,033"
22,Ryan Anderson,Houston Rockets,"$18,735,364"
23,Allen Crabbe,Portland Trail Blazers,"$18,500,000"
24,Paul George,Indiana Pacers,"$18,314,532"
25,Luol Deng,Los Angeles Lakers,"$18,000,000"
26,Kawhi Leonard,San Antonio Spurs,"$17,638,063"
27,Kyrie Irving,Cleveland Cavaliers,"$17,638,063"
28,Jimmy Butler,Chicago Bulls,"$17,552,209"
29,Tobias Harris,Detroit Pistons,"$17,200,000"
30,Enes Kanter,Oklahoma City Thunder,"$17,145,838"
31,Greg Monroe,Milwaukee Bucks,"$17,145,838"
32,Wesley Matthews,Dallas Mavericks,"$17,145,838"
33,Bismack Biyombo,Orlando Magic,"$17,000,000"
34,Evan Fournier,Orlando Magic,"$17,000,000"
35,Joakim Noah,New York Knicks,"$17,000,000"
36,John Wall,Washington Wizards,"$16,957,900"
37,DeMarcus Cousins,Sacramento Kings,"$16,957,900"
38,Klay Thompson,Golden State Warriors,"$16,663,575"
39,Evan Turner,Portland Trail Blazers,"$16,393,443"
40,Gordon Hayward,Utah Jazz,"$16,073,140"
41,Timofey Mozgov,Los Angeles Lakers,"$16,000,000"
42,Ian Mahinmi,Washington Wizards,"$15,944,154"
43,Goran Dragic,Miami Heat,"$15,891,725"
44,Kent Bazemore,Atlanta Hawks,"$15,730,338"
45,Pau Gasol,San Antonio Spurs,"$15,500,000"
46,Draymond Green,Golden State Warriors,"$15,330,435"
47,Tristan Thompson,Cleveland Cavaliers,"$15,330,435"
48,Khris Middleton,Milwaukee Bucks,"$15,200,000"
49,Danilo Gallinari,Denver Nuggets,"$15,050,000"
50,Jeff Green,Orlando Magic,"$15,000,000"
51,Reggie Jackson,Detroit Pistons,"$14,956,522"
52,Tony Parker,San Antonio Spurs,"$14,445,313"
53,Jonas Valanciunas,Toronto Raptors,"$14,382,023"
54,DeMarre Carroll,Toronto Raptors,"$14,200,000"
55,Thaddeus Young,Indiana Pacers,"$14,153,652"
56,Manu Ginobili,San Antonio Spurs,"$14,000,000"
57,Eric Bledsoe,Phoenix Suns,"$14,000,000"
58,Rajon Rondo,Chicago Bulls,"$14,000,000"
59,Ricky Rubio,Minnesota Timberwolves,"$13,400,000"
60,Rudy Gay,Sacramento Kings,"$13,333,333"
61,Jamal Crawford,LA Clippers,"$13,253,012"
62,Robin Lopez,Chicago Bulls,"$13,219,250"
63,Michael Kidd-Gilchrist,Charlotte Hornets,"$13,000,000"
64,Brandon Knight,Phoenix Suns,"$12,606,250"
65,John Henson,Milwaukee Bucks,"$12,517,606"
66,Miles Plumlee,Milwaukee Bucks,"$12,500,000"
67,Arron Afflalo,Sacramento Kings,"$12,500,000"
68,Jordan Clarkson,Los Angeles Lakers,"$12,500,000"
69,Tyson Chandler,Phoenix Suns,"$12,415,000"
70,Eric Gordon,Houston Rockets,"$12,385,364"
71,Marvin Williams,Charlotte Hornets,"$12,250,000"
72,Serge Ibaka,Orlando Magic,"$12,250,000"
73,Stephen Curry,Golden State Warriors,"$12,112,359"
74,Nikola Pekovic,Minnesota Timberwolves,"$12,100,000"
75,Kenneth Faried,Denver Nuggets,"$12,078,652"
76,Marcin Gortat,Washington Wizards,"$12,000,000"
77,Kemba Walker,Charlotte Hornets,"$12,000,000"
78,Amir Johnson,Boston Celtics,"$12,000,000"
79,Nikola Vucevic,Orlando Magic,"$11,750,000"
80,Jeremy Lin,Brooklyn Nets,"$11,483,254"
81,Jrue Holiday,New Orleans Pelicans,"$11,286,518"
82,Courtney Lee,New York Knicks,"$11,242,000"
83,Solomon Hill,New Orleans Pelicans,"$11,241,218"
84,Wilson Chandler,Denver Nuggets,"$11,233,146"
85,Andre Iguodala,Golden State Warriors,"$11,131,368"
86,Derrick Favors,Utah Jazz,"$11,050,000"
87,Andrew Bogut,Dallas Mavericks,"$11,027,027"
88,Joe Johnson,Utah Jazz,"$11,000,000"
89,Austin Rivers,LA Clippers,"$11,000,000"
90,Jon Leuer,Detroit Pistons,"$10,991,957"
91,Monta Ellis,Indiana Pacers,"$10,763,500"
92,Mirza Teletovic,Milwaukee Bucks,"$10,500,000"
93,Jared Dudley,Phoenix Suns,"$10,470,000"
94,Zach Randolph,Memphis Grizzlies,"$10,361,445"
95,Al Jefferson,Indiana Pacers,"$10,314,532"
96,Tyreke Evans,New Orleans Pelicans,"$10,203,755"
97,Alec Burks,Utah Jazz,"$10,154,495"
98,Terrence Ross,Toronto Raptors,"$10,000,000"
99,Danny Green,San Antonio Spurs,"$10,000,000"
100,Omer Asik,New Orleans Pelicans,"$9,904,494"
101,Iman Shumpert,Cleveland Cavaliers,"$9,662,922"
102,Matthew Dellavedova,Milwaukee Bucks,"$9,607,500"
